,ALPHA_M,Field,GLAT,GLON,M_H,VGSR,X,Y,Z,pmbb,pmll,pmll_gsr,shdist,zbins
255687,0.15939085,335+12          ,11.9269498741,-25.597749308000004,-0.3726103,-56.15373232116648,4.011768,-1.9219193,0.93960226,3.656839466384114,0.6133887660403128,6.513388766040313,4.54652692692,7.0
255966,0.17541629,335+12          ,11.6519569075,-25.518418664000023,-0.25693834,-136.35947373815304,4.0691934,-1.9425077,0.9298369,2.973023157016545,-3.7216104699058112,2.178389530094189,4.60394041923,7.0
256102,0.33852366,335+12          ,11.496965146,-25.47649962899999,-1.0248212,1.6893117802517343,4.076349,-1.9422631,0.9184202,0.19487936155098584,-5.343683509473801,0.556316490526199,4.60787386039,7.0
256148,0.18689945,335+12          ,11.3716183698,-25.52251270900001,-0.19760366,-127.02555534701298,4.052781,-1.9350288,0.90323293,-1.7971413941492531,-6.042629099659454,-0.14262909965945347,4.58096053569,7.0
256351,0.29754356,335+12          ,11.3595512726,-25.303625582999985,-0.7245075,-183.96053228991389,4.169532,-1.9712477,0.92655706,-6.609414706279787,-2.7649490684054694,3.135050931594531,4.70418140704,7.0
256458,0.22754252,335+12          ,11.2149613953,-25.273380293999992,-0.6967669,-143.44987758769068,4.078317,-1.9254907,0.8942269,-6.53331778461265,-0.093834406497745,5.806165593502255,4.59780680759,7.0
256479,0.24355212,335+12          ,12.0140014229,-24.597695363000014,-0.5602894,-231.11988670463816,4.2049613,-1.9249729,0.98417366,-2.001222671789642,-2.2040702124610037,3.6959297875389967,4.72819414721,7.0
256496,0.06925355,335+12          ,11.6240636979,-24.89269109999998,-0.056273602,-113.65779113883379,4.042036,-1.8756204,0.9166344,-1.9546829983565623,-3.333235533144882,2.566764466855118,4.54931060052,7.0
256543,0.06436687,335+12          ,11.6520366606,-24.814330370999983,-0.006683439,-118.11129089747389,4.187263,-1.9360542,0.9513147,-0.8998208248370861,-2.6615696038038417,3.2384303961961587,4.7102524051,7.0
256614,0.04066355,335+12          ,11.4279211448,-24.89664043099998,0.058842387,-155.14347168900366,4.1694326,-1.9350854,0.9291651,0.8747522208590488,-5.3545284533228275,0.5454715466771729,4.68957073113,7.0
